name_code,name,rank,estimate,source,inserted,updated
d3b242d0-f8b0-42ca-a396-099c129daac6,Fabaceae,FAMILY,22000,\N,2015-09-21 22:26:15,\N
997359f1-37da-4732-ae50-08203749033e,Polygalaceae,FAMILY,1300,\N,2015-09-21 22:34:51,\N
3be02027-435a-422f-ac36-f0a5dc1c614d,Quillajaceae,FAMILY,2,\N,2015-09-21 22:36:54,\N
05e24ddd-721c-41ab-a9e1-10a141417860,Surianaceae,FAMILY,9,\N,2015-09-21 22:37:35,\N
b2f5e145-ac73-494d-9e85-6414814f5ec4,Fabales,ORDER,23300,\N,2015-09-21 22:40:22,\N
b713e23c-16e3-47c9-bc35-8bba7502023f,Glaucophyta,PHYLUM,15,\N,2015-09-22 00:02:58,\N
ec8201d4-0bfa-475c-be80-10f680388cca,Rhodophyta,PHYLUM,7000,\N,2015-09-22 00:03:18,\N
567a174e-5a4d-4c0d-b4f2-5aa2182a9714,Chlorophyta,PHYLUM,8000,\N,2015-09-22 00:03:37,\N
c6ab50fd-78ad-4e31-b8c6-97384995e831,Charophyta,PHYLUM,6000,\N,2015-09-22 00:03:57,\N
125836c1-6fae-430a-ae9a-1101a83d90c1,Ochrophyta,PHYLUM,12500,\N,2015-09-22 00:04:38,\N
65cdb7e1-024b-46eb-be8a-40ada19c74d4,Euglenozoa,PHYLUM,2000,\N,2015-09-22 00:05:13,\N
e2b2395a-c307-4a42-8070-7c249d98bbc8,Amberana,GENUS,20,\N,2015-09-29 22:31:35,\N
48a87568-450a-4af8-9858-86c719930df0,Phacopteronidae,FAMILY,50,\N,2015-09-30 10:01:03,\N
088462b0-da9d-4df0-b461-6e52ba759e2a,Acanthocephala,PHYLUM,1192,\N,2015-10-08 19:02:09,\N
83daf648-b588-4c8f-96ff-8f2fd112fc9d,Annelida,PHYLUM,17388,\N,2015-10-08 19:03:42,2018-04-10 19:00:35
7a77dbd5-bcff-42c9-b9fc-b05d5678302f,Arthropoda,PHYLUM,1257040,\N,2015-10-08 19:04:41,2018-04-09 19:25:37
742f69df-9dcc-411c-bbf4-7d9dc2959098,Brachiopoda,PHYLUM,392,\N,2015-10-08 19:05:14,2018-04-10 19:06:50
242d38d4-1f84-4aad-9c77-ab83fdf672a3,Bryozoa,PHYLUM,6008,\N,2015-10-08 19:06:08,2018-04-10 19:07:56
bd9f9895-dbcb-4f17-88b4-416df5c312a7,Cephalorhyncha,PHYLUM,198,\N,2015-10-08 19:10:24,2015-10-27 16:03:42
c228ba69-cb50-4253-9b75-95dbc3785916,Chaetognatha,PHYLUM,170,\N,2015-10-08 19:11:07,2018-04-10 19:09:33
ef303b7e-f40e-437d-82bf-ac16aedf522f,Cnidaria,PHYLUM,10203,\N,2015-10-08 20:20:24,2018-04-10 19:11:25
