record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year
9918,f51c11b6-a2bd-4789-a9bc-3bfd91a76fd8,\N,Leptostroma,\N,bambusellum,\N,\N,\N,"(Sacc.) Mussat, 1901",4f7f557b-f852-410e-89e3-b5bf5daaeeac,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1901
7597,8aca4040-dae5-496c-a103-b135a250927e,http://chilobase.bio.unipd.it/sp2000.php?sp1214,Lamyctes,Lamyctes,pachypes,\N,\N,\N,"Takakuwa, 1941",8aca4040-dae5-496c-a103-b135a250927e,\N,2006-02-27,1,42,1,2913,\N,86549e5f-dbc5-460d-9edc-37ea25412837,1,\N,\N,0,0,0,1941
4353,ce347912-532e-42f8-8330-98b1a86a5404,\N,Geophilus,\N,flavidus,\N,vestitus,subsp.,,dcfd9648-db60-4fa3-80d7-022ff70e041c,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1903
5485,1fffb96d-a982-4407-9b3d-367aed7f99ae,http://chilobase.bio.unipd.it/sp2000.php?sp1806,Neolithobius,\N,ethopus,\N,\N,\N,"Chamberlin, 1945",1fffb96d-a982-4407-9b3d-367aed7f99ae,\N,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1946
4247,8f70e1c9-149b-4ac0-8571-9fd31b53c8b1,http://chilobase.bio.unipd.it/sp2000.php?sp3863,Schendylops,\N,paraguayensis,\N,\N,\N,Silvestri (1895),8f70e1c9-149b-4ac0-8571-9fd31b53c8b1,\N,2006-02-27,1,42,14,2893,\N,efdd6849-905a-47e4-bf3c-0c8fab0899ef,1,\N,\N,0,0,0,1895
9558,d7f308f2-af29-418a-83c1-bc0531ace87e,\N,Lophodermium,\N,tumidum,\N,napelli,var.,"Rehm, 1887",c737033a-944e-4db9-8892-83084cf215fd,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1887
6310,f836a8d2-5656-4fee-bfb8-6d1f8985d075,\N,Scolopendra,\N,hirsutipes,\N,\N,\N,"Bollman, 1893",1020c260-83ab-4820-860a-9daef5aeca9a,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1893
2204,430a8391-85dc-464c-a7bf-068b83048115,\N,Geranium,\N,strigosum,\N,grandiflorum,var.,Franch.,2541cdf0-6d38-4f6a-892a-79144321ab3c,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1889
8985,12566d15-3b56-46f9-a9cb-b5892c655181,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Lophodermium%20brunneolum,Lophodermium,\N,brunneolum,\N,\N,\N,"P. R. Johnst., 1989",12566d15-3b56-46f9-a9cb-b5892c655181,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1989
9176,e0197a0c-3e96-48b3-bb85-f4dda48d7806,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Bifusella%20anomala,Bifusella,\N,anomala,\N,\N,\N,"Y. R. Lin, 1995",e0197a0c-3e96-48b3-bb85-f4dda48d7806,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1995
