record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year,ref_source,as_authors,as_edition,as_journal,as_note,as_pages,as_volume,as_year
8548,8be2403f-6fd7-4ff4-98c7-507c643aa2ae,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Heufleria%20sepulta,Heufleria,\N,sepulta,\N,\N,\N,"Trevis., 1861",8be2403f-6fd7-4ff4-98c7-507c643aa2ae,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1861,"In: Flora, Regensburg 44:23.",V.B.A. Trevisan de Saint-Léon,\N,"Flora, Regensburg",\N,23,44,1861
8549,30cdef32-2c1a-4ccd-b3a8-12a998e0cca4,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Heufleria%20diplocarpa,Heufleria,\N,diplocarpa,\N,\N,\N,"Müll. Arg., 1885",30cdef32-2c1a-4ccd-b3a8-12a998e0cca4,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1885,In: Bot. Jb. 6:385.,J. Müller Argoviensis,\N,Bot. Jb.,\N,385,6,1885
8550,7b1ccec7-33fe-4549-9ad6-2fe967a638c9,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Heufleria%20alpina,Heufleria,\N,alpina,\N,\N,\N,"Auersw., 1869",7b1ccec7-33fe-4549-9ad6-2fe967a638c9,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1869,In: Hedwigia 8:39.,B. Auerswald,\N,Hedwigia,\N,39,8,1869
8551,c112765e-47ec-4685-8d06-a7618f7b8e0f,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Irydyonia%20filicis,Irydyonia,\N,filicis,\N,\N,\N,"Racib., 1900",c112765e-47ec-4685-8d06-a7618f7b8e0f,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1900,In: Parasit. Alg. Pilze Java's (Jakarta) 3:20.,M. Raciborski,\N,Parasit. Alg. Pilze Java's (Jakarta),\N,20,3,1900
8552,f3b42416-3ed5-4bc4-a040-1eaf67860d5c,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Pseudotrochila%20rhododendri,Pseudotrochila,\N,rhododendri,\N,\N,\N,"(Racib.) Höhn., 1917",f3b42416-3ed5-4bc4-a040-1eaf67860d5c,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1917,In: Ber. dt. bot. Ges. 35:419.,"Höhnel, F.X.R. von",\N,Ber. dt. bot. Ges.,\N,419,35,1917
8553,6124a071-bfa7-4ab3-b056-e047b9059611,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Fulvoflamma%20eucalypti,Fulvoflamma,\N,eucalypti,\N,\N,\N,"Crous, 2006",6124a071-bfa7-4ab3-b056-e047b9059611,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,2006,In: Stud. Mycol. 55:56.,"P.W. Crous, G.J.M. Verkley, J.Z. Groenewald",\N,Stud. Mycol.,\N,56,55,2006
8554,05453f9c-0bb5-433e-98fd-3704840791a6,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Apiodiscus%20gillii,Apiodiscus,\N,gillii,\N,\N,\N,"Petr., 1940",05453f9c-0bb5-433e-98fd-3704840791a6,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1940,In: Annln K. K. naturh. Hofmus. Wien 50:473.,F. Petrak,\N,Annln K. K. naturh. Hofmus. Wien,\N,473,50,1940
8555,f361353b-4832-4e44-8755-900ddad5d7e9,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Neophacidium%20quercus,Neophacidium,\N,quercus,\N,\N,\N,"(Chona, Munjal & J. N. Kapoor) E. Müll. & S. Ahmad, 1957",f361353b-4832-4e44-8755-900ddad5d7e9,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1957,"In: Biologia, Lahore 3(1):16.",E. Müll. & S. Ahmad,\N,"Biologia, Lahore",\N,16,3(1),1957
8556,8c8adf18-971d-4b91-848f-76f82a74d9de,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Neophacidium%20macrocarpum,Neophacidium,\N,macrocarpum,\N,\N,\N,"(Pat.) Petr., 1950",8c8adf18-971d-4b91-848f-76f82a74d9de,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1950,In: Sydowia 4(1-6):333.,F. Petrak,\N,Sydowia,\N,333,4(1-6),1950
8557,43656355-ea01-441c-9740-a6410d82f697,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Ocotomyces%20parasiticus,Ocotomyces,\N,parasiticus,\N,\N,\N,"H. C. Evans & Minter, 1985",43656355-ea01-441c-9740-a6410d82f697,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1985,In: Trans. Br. mycol. Soc. 84(1):68.,"H.C. Evans, Minter",\N,Trans. Br. mycol. Soc.,\N,68,84(1),1985
8558,3e8aa333-688a-45da-bc51-1a61c761ee2e,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Lasiostictella%20bambusae,Lasiostictella,\N,bambusae,\N,\N,\N,"Sherwood, 1986",3e8aa333-688a-45da-bc51-1a61c761ee2e,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1986,In: Sydowia 38:32.,"F. Candoussau, K. Katumoto, M.A. Sherwood-Pike",\N,\N,\N,32,38,1986
