record_id,name_code,distribution,standardinuse,distributionstatus,database_id
20062,1fe19b3b-1651-49a7-87af-a588cadf1611,Ukraine,TEXT,Native,42
20063,1fe19b3b-1651-49a7-87af-a588cadf1611,Russia,TEXT,Native,42
20064,68ff2cfd-d7f0-41e3-8a76-48f068974125,Turkey,TEXT,Native,42
20065,9d64bd81-c8c9-40a2-b73f-22fa2c367296,Russia,TEXT,Native,42
20066,95ea7ac0-f810-44ca-a99e-d761188fddb2,South Europe,TEXT,Native,42
20067,95ea7ac0-f810-44ca-a99e-d761188fddb2,North Africa,TEXT,Native,42
20068,7b9ea686-ede6-4229-b2bf-698403e9dbc5,Israel,TEXT,Native,42
20069,7b9ea686-ede6-4229-b2bf-698403e9dbc5,Cyprus,TEXT,Native,42
20070,08f92006-829f-46c8-8893-77e525721c87,Mexico,TEXT,Native,42
20071,7b8cc3ba-8994-45e2-8913-0774abe64bef,USA,TEXT,Native,42
20072,ce5522b9-0997-4a7a-a25a-96b096c0ffda,Portugal (Madeira),TEXT,Native,42
20073,4f5e7032-ad32-4c7f-b5c2-a586e332557c,Chile,TEXT,Native,42
20074,e8698818-24c0-4fa1-aa8d-9ee583195e59,Russia,TEXT,Native,42
20075,61c4791e-f51f-4d64-831b-8cc17cbd8745,Ecuador (Galàpagos),TEXT,Native,42
20076,0040900f-bb1b-4763-b2e4-5f92b7127659,USA (Hawaii Islands),TEXT,Native,42
20077,0040900f-bb1b-4763-b2e4-5f92b7127659,Taiwan,TEXT,Native,42
20078,0040900f-bb1b-4763-b2e4-5f92b7127659,Spain (Canary Islands),TEXT,Native,42
20079,0040900f-bb1b-4763-b2e4-5f92b7127659,"Portugal (Azores, Madeira)",TEXT,Native,42
20080,0040900f-bb1b-4763-b2e4-5f92b7127659,North America,TEXT,Native,42
20081,0040900f-bb1b-4763-b2e4-5f92b7127659,Europe,TEXT,Native,42
20082,0040900f-bb1b-4763-b2e4-5f92b7127659,Chile (Easter Island),TEXT,Native,42
20083,0040900f-bb1b-4763-b2e4-5f92b7127659,Cape Verde,TEXT,Native,42
20084,1c348430-a72b-4220-b58f-d27033d420ca,Israel,TEXT,Native,42
20085,b5c02f85-7906-474d-afcd-01b155082fc7,Turkey,TEXT,Native,42
20086,b5c02f85-7906-474d-afcd-01b155082fc7,Saudi Arabia,TEXT,Native,42
20087,b5c02f85-7906-474d-afcd-01b155082fc7,Japan,TEXT,Native,42
20088,b5c02f85-7906-474d-afcd-01b155082fc7,Iraq,TEXT,Native,42
20089,b5c02f85-7906-474d-afcd-01b155082fc7,Greece,TEXT,Native,42
