record_id,author,year,title,source,database_id,reference_code
1,Aedo,2009,\N,"In: Feddes Repert. 120: 317, 318 fig. 1",48,abe39a17-ae0e-4587-b0a9-ac427195813c
2,Aedo,2009,\N,"In: J. Torrey Bot. Soc. 136: 289, 290 fig. 1",48,0a6a4074-8253-489f-aa19-d52dca71b0eb
3,Aedo,2011,\N,"In: Acta Bot. Mexicana 95: 39, fig. 1",48,d73062a7-ca97-4886-95ed-000613d760c3
4,Standl.,1940,\N,"In: Publ. Field Mus. Nat. Hist., Bot. Ser. 22(1): 32",48,fe4bbd8e-3fc6-4477-9afa-b8612084573a
5,Sandwith,1929,\N,In: Bull. Misc. Inform. 1929: 121,48,1dc82415-698f-4dbe-833d-d57919f3280f
6,Rose ex Hanks & Small in Underw. & Britton (eds.),1907,\N,In: N. Amer. Fl. 25(1): 17,48,14cf1452-d6d7-4537-a2ad-f8aaf9b2fd86
7,"Hilliard, B.L. Burtt",1985,\N,"In: Notes Roy. Bot. Gard. Edinburgh 42(2): 202, 174 fig. 2 F",48,b3c08c58-e70a-4691-9608-edf4a51371e7
8,H. Perrier,1925,\N,In: Bull. Soc. Linn. Normandie ser. 7 7: 188,48,29d8c91c-7b55-434d-bbe5-89803c3f8619
9,Ridl.,1916,\N,"In: Trans. Linn. Soc. London, Bot. 9(1): 22",48,84b07ce1-7e40-4da0-bde5-a3670678b206
10,L.,1753,\N,In: Sp. Pl. 683,48,0c7390da-cc27-4cb7-9510-a0ee9c5e8a31
11,Franch.,1885,\N,In: Nouv. Arch. Mus. Hist. Nat. ser. 2 8(2): 208,48,18c7f832-9cdd-4d64-98c9-90a5cce826ad
12,R. Knuth,1930,\N,In: Repert. Spec. Nov. Regni Veg. 28: 2,48,90685c45-9377-4289-b0c8-91f22e10d558
13,H.E. Moore,1943,\N,"In: Contr. Gray Herb. 146: 72, pl. 3 fig. 10, pl. 5 figs. 3, 7",48,40e5c4bb-dc39-4288-8bed-e9dbd5b83858
14,Ridl.,1916,\N,"In: Trans. Linn. Soc. London, Bot. 9(1): 23",48,902c8122-4c61-4258-827d-e6ae6bd9d6aa
15,Franch.,1889,\N,In: Pl. Delavay. 115,48,74b3ff2c-56d8-4f65-aa5a-3b8f2e04b7cd
16,R. Knuth in Engl.,1912,\N,In: Pflanzenr. IV.129 (Heft 53): 180,48,694ac85e-a3eb-4e5f-a5f5-22f7c15fd2f1
17,Turcz.,1858,\N,In: Bull. Soc. Imp. Naturalistes Moscou 31(2): 418,48,8a800697-a2ef-4ce0-8ad8-6f18d5812b39
18,Zoll. & Moritzi,1845,\N,In: Natuur-Geneesk. Arch. Ned.-Indië 2: 585,48,7f45f324-c016-406a-b65b-fadcb400ec11
19,H.E. Moore,1943,\N,"In: Contr. Gray Herb. 146: 80, pl. 1 fig. 5",48,945a9798-df21-4477-b700-4fbe827e02e9
20,Kom.,1901,\N,In: Trudy Imp. S.-Peterburgsk. Bot. Sada 18(6): 433,48,743659ab-334c-4363-8bb9-73e122e19593
21,L.,1753,\N,In: Sp. Pl. 682,48,44634398-b4df-4298-a676-59546c287264
